2026-04-07 10:10:23,416 - api - INFO - FastAPI crawler service starting
2026-04-07 10:10:34,524 - priority_calculator - INFO - Route Đồ thể thao, Dã ngoại in Tp Hồ Chí Minh: avg_interval=360.00s, priority=207
2026-04-07 10:10:34,529 - priority_calculator - INFO - Route Đồ thể thao, Dã ngoại in Quảng Nam Đà Nẵng: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,530 - priority_calculator - INFO - Route Phụ kiện thời trang khác in Đông Bắc Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,531 - priority_calculator - INFO - Route Phụ kiện thời trang khác in Tây Nguyên: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,536 - priority_calculator - INFO - Route Thiết bị chơi game in Các tỉnh lân cận Hà Nội: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,537 - priority_calculator - INFO - Route Phụ kiện thời trang khác in Đông Nam Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,537 - priority_calculator - INFO - Route Điện thoại in Các tỉnh lân cận Hà Nội: avg_interval=2258.50s, priority=0
2026-04-07 10:10:34,539 - priority_calculator - INFO - Route Thiết bị chơi game in Quảng Nam Đà Nẵng: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,539 - priority_calculator - INFO - Route Đồ thể thao, Dã ngoại in Cần Thơ - Tây Nam Bộ: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,540 - priority_calculator - WARNING - HTTP 403 for category 5030, region 1
2026-04-07 10:10:34,544 - priority_calculator - WARNING - HTTP 403 for category 5030, region 2
2026-04-07 10:10:34,544 - priority_calculator - WARNING - HTTP 403 for category 3050, region 13
2026-04-07 10:10:34,545 - priority_calculator - INFO - Route Phụ kiện thời trang khác in Các tỉnh lân cận Hà Nội: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,545 - priority_calculator - WARNING - HTTP 403 for category 5030, region 3
2026-04-07 10:10:34,555 - priority_calculator - INFO - Route Thiết bị chơi game in Hải Phòng Nam Định Thái Bình: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,567 - priority_calculator - INFO - Route Điện thoại in Tây Nguyên: avg_interval=1847.00s, priority=0
2026-04-07 10:10:34,567 - priority_calculator - INFO - Route Đồng hồ in Bình Trị Thừa Thiên Huế: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,568 - priority_calculator - INFO - Route Mẹ và bé in Thanh Nghệ Tĩnh: avg_interval=1800.00s, priority=0
2026-04-07 10:10:34,581 - priority_calculator - INFO - Route Điện thoại in Cần Thơ - Tây Nam Bộ: avg_interval=586.00s, priority=174
2026-04-07 10:10:34,585 - priority_calculator - INFO - Route Điện thoại in Bình Trị Thừa Thiên Huế: avg_interval=2694.00s, priority=0
